'Average air temperature above sea ice (degrees in Celcius)','Average water temperature below sea ice (degrees in Celcius)','Global Annual Mean CO2','CO2 ppm, 20 Year Smoothed',CO2-GRF,CH4-GRF,N2O-GRF,CFC12-GRF,CFC11-GRF,15-minor-GRF,Total-GRF,'CO2-eq (ppm) Total','AGGI 1990 = 1','AGGI \% change *','Global Mean CO2 NOAA ppm','Urban population (\% of total)','Urban population','Urban population growth (annual \%)','Population, total','Population growth (annual \%)','Improved sanitation facilities (\% of population with access)','Improved water source (\% of population with access)','Improved water source, urban (\% of urban population with access)','Improved water source, rural (\% of rural population with access)','Mortality rate, under-5 (per 1,000 live births)','Primary completion rate, total (\% of relevant age group)','School enrollment, primary and secondary (gross), gender parity index (GPI)','Agriculture, value added (\% of GDP)','CPIA public sector management and institutions cluster average (1=low to 6=high)','Population in urban agglomerations of more than 1 million (\% of total population)','Nitrous oxide emissions (\% change from 1990)','Nitrous oxide emissions (thousand metric tons of CO2 equivalent)','Methane emissions (\% change from 1990)','Methane emissions (kt of CO2 equivalent)','Total greenhouse gas emissions (\% change from 1990)','Total greenhouse gas emissions (kt of CO2 equivalent)','Other greenhouse gas emissions (\% change from 1990)','Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)','CO2 emissions from solid fuel consumption (\% of total)','CO2 emissions from solid fuel consumption (kt)','CO2 emissions (kg per 2011 PPP $ of GDP)','CO2 emissions (kg per PPP $ of GDP)','CO2 emissions (metric tons per capita)','CO2 emissions from liquid fuel consumption (\% of total)','CO2 emissions from liquid fuel consumption (kt)','CO2 emissions (kt)','CO2 emissions (kg per 2010 US$ of GDP)','CO2 emissions from gaseous fuel consumption (\% of total)','CO2 emissions from gaseous fuel consumption (kt)','CO2 intensity (kg per kg of oil equivalent energy use)','Energy use (kg of oil equivalent per capita)','Electric power consumption (kWh per capita)','Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)','Renewable energy consumption (\% of total final energy consumption)','Electricity production from renewable sources, excluding hydroelectric (\% of total)','Electricity production from renewable sources
'\'(-inf-14.4198]\'','\'(-inf-15.0048]\'',?,'\'(-inf-294.5]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(-inf-14.4198]\'','\'(-inf-15.0048]\'',?,'\'(-inf-294.5]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(-inf-14.4198]\'','\'(-inf-15.0048]\'',?,'\'(-inf-294.5]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(-inf-14.4198]\'','\'(-inf-15.0048]\'',?,'\'(-inf-294.5]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(-inf-14.4198]\'','\'(-inf-15.0048]\'',?,'\'(-inf-294.5]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(14.4198-14.7306]\'','\'(15.0048-15.3156]\'',?,'\'(-inf-294.5]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(-inf-14.4198]\'','\'(-inf-15.0048]\'',?,'\'(-inf-294.5]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(-inf-14.4198]\'','\'(-inf-15.0048]\'',?,'\'(-inf-294.5]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(-inf-14.4198]\'','\'(-inf-15.0048]\'',?,'\'(-inf-294.5]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'\'(-inf-14.4198]\'','\'(-inf-15.0048]\'',?,'\'(-inf-294.5]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
